 yes             v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(Vitest)       i(Viout)        v(Vout)         i(v.x3.vib0)    i(v.x3.vib1)    i(v.x3.vib2)    i(v.x3.vib3)    i(v.x3.vib4)    i(v.x3.vib5)    i(v.x3.vib6)   
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  6.30516154e-08  7.07531331e-08  7.07531331e-05  1.11174990e-14  1.04697942e-07  1.17606321e-14  1.00394252e-07  1.07113754e-07  1.07786544e-07  1.09339317e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  6.39932007e-08  7.16850739e-08  7.16850739e-05  1.04362755e-07  1.04697687e-07  1.17543749e-14  1.00394205e-07  1.07113732e-07  1.07786531e-07  1.09334514e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  6.50446242e-08  7.27255612e-08  7.27255612e-05  1.11309410e-14  1.15377537e-14  1.07941206e-07  1.00394154e-07  1.07113709e-07  1.07786517e-07  1.09329198e-14 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  6.59953899e-08  7.36662847e-08  7.36662847e-05  1.04362876e-07  1.15224167e-14  1.07941096e-07  1.00394111e-07  1.07113689e-07  1.07786504e-07  1.09324507e-14 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  6.69169319e-08  7.45779529e-08  7.45779529e-05  1.11078543e-14  1.04697688e-07  1.07940999e-07  1.00394070e-07  1.07113669e-07  1.07786492e-07  1.09319974e-14 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  6.78089374e-08  7.54602685e-08  7.54602685e-05  1.04362650e-07  1.04697485e-07  1.07940912e-07  1.00394033e-07  1.07113650e-07  1.07786481e-07  1.09315662e-14 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  7.12157462e-08  7.88288527e-08  7.88288527e-05  1.12246626e-14  1.16398298e-14  1.18581184e-14  1.16638977e-14  1.19678441e-14  1.11268374e-14  1.09684526e-07 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  7.23906697e-08  7.99901411e-08  7.99901411e-05  1.04363152e-07  1.15560215e-14  1.18094732e-14  1.16441491e-14  1.19613147e-14  1.11250055e-14  1.09684513e-07 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  7.35019988e-08  8.10883575e-08  8.10883575e-05  1.11275273e-14  1.04698200e-07  1.17907751e-14  1.16324209e-14  1.19561235e-14  1.11233586e-14  1.09684501e-07 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  7.46024111e-08  8.21755786e-08  8.21755786e-05  1.04362847e-07  1.04697877e-07  1.17783175e-14  1.16236685e-14  1.19516341e-14  1.11218060e-14  1.09684489e-07 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  7.57739542e-08  8.33328502e-08  8.33328502e-05  1.11469506e-14  1.15556783e-14  1.07941642e-07  1.16162193e-14  1.19473843e-14  1.11202230e-14  1.09684476e-07 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  7.68841287e-08  8.44292836e-08  8.44292836e-05  1.04362981e-07  1.15334021e-14  1.07941473e-07  1.16102918e-14  1.19437456e-14  1.11187888e-14  1.09684464e-07 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  7.79409677e-08  8.54728449e-08  8.54728449e-05  1.11148361e-14  1.04697872e-07  1.07941335e-07  1.16053716e-14  1.19405667e-14  1.11174768e-14  1.09684453e-07 
