 v-sweep         v(vin_p)        i(v.x4.vib)     i(v.x4.vibx2)   v(x4.min1)      v(x4.min2)      i(vir)          i(viout_p)      i(viout_n)     
 1.24000000e+00  1.24000000e+00  3.83887878e-06  1.73514790e-05  1.18100135e-01  1.18576063e-01  3.83886487e-06  1.73529890e-05  8.64367425e-06 
 1.25000000e+00  1.25000000e+00  3.83887636e-06  1.73514790e-05  1.18100135e-01  1.18576064e-01  3.83886566e-06  1.73529922e-05  8.64367346e-06 
 1.26000000e+00  1.26000000e+00  3.83887457e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886625e-06  1.73529946e-05  8.64367287e-06 
 1.27000000e+00  1.27000000e+00  3.83887324e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886668e-06  1.73529964e-05  8.64367244e-06 
 1.28000000e+00  1.28000000e+00  3.83887226e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886700e-06  1.73529977e-05  8.64367212e-06 
 1.29000000e+00  1.29000000e+00  3.83887153e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886724e-06  1.73529986e-05  8.64367188e-06 
 1.30000000e+00  1.30000000e+00  3.83887100e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886742e-06  1.73529993e-05  8.64367171e-06 
 1.31000000e+00  1.31000000e+00  3.83887060e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886755e-06  1.73529999e-05  8.64367158e-06 
 1.32000000e+00  1.32000000e+00  3.83887031e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886764e-06  1.73530002e-05  8.64367149e-06 
 1.33000000e+00  1.33000000e+00  3.83887009e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886771e-06  1.73530005e-05  8.64367142e-06 
 1.34000000e+00  1.34000000e+00  3.83886993e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886776e-06  1.73530007e-05  8.64367136e-06 
 1.35000000e+00  1.35000000e+00  3.83886982e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886780e-06  1.73530009e-05  8.64367133e-06 
 1.36000000e+00  1.36000000e+00  3.83886973e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886783e-06  1.73530010e-05  8.64367130e-06 
 1.37000000e+00  1.37000000e+00  3.83886967e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886785e-06  1.73530011e-05  8.64367128e-06 
 1.38000000e+00  1.38000000e+00  3.83886962e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886787e-06  1.73530012e-05  8.64367126e-06 
 1.39000000e+00  1.39000000e+00  3.83886959e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886788e-06  1.73530012e-05  8.64367125e-06 
 1.40000000e+00  1.40000000e+00  3.83886956e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886789e-06  1.73530012e-05  8.64367124e-06 
 1.41000000e+00  1.41000000e+00  3.83886954e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886789e-06  1.73530013e-05  8.64367124e-06 
 1.42000000e+00  1.42000000e+00  3.83886953e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367123e-06 
 1.43000000e+00  1.43000000e+00  3.83886952e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367123e-06 
 1.44000000e+00  1.44000000e+00  3.83886951e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367123e-06 
 1.45000000e+00  1.45000000e+00  3.83886951e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367122e-06 
 1.46000000e+00  1.46000000e+00  3.83886950e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367122e-06 
 1.47000000e+00  1.47000000e+00  3.83886950e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886791e-06  1.73530013e-05  8.64367122e-06 
 1.48000000e+00  1.48000000e+00  3.83886950e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886791e-06  1.73530013e-05  8.64367122e-06 
 1.49000000e+00  1.49000000e+00  3.83886950e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886791e-06  1.73530013e-05  8.64367122e-06 
 1.50000000e+00  1.50000000e+00  3.83886950e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886791e-06  1.73530013e-05  8.64367122e-06 
 1.51000000e+00  1.51000000e+00  3.83886950e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886791e-06  1.73530013e-05  8.64367122e-06 
 1.52000000e+00  1.52000000e+00  3.83886950e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886791e-06  1.73530013e-05  8.64367122e-06 
 1.53000000e+00  1.53000000e+00  3.83886950e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886791e-06  1.73530013e-05  8.64367122e-06 
 1.54000000e+00  1.54000000e+00  3.83886950e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886791e-06  1.73530013e-05  8.64367122e-06 
 1.55000000e+00  1.55000000e+00  3.83886950e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886791e-06  1.73530013e-05  8.64367122e-06 
 1.56000000e+00  1.56000000e+00  3.83886950e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886791e-06  1.73530013e-05  8.64367122e-06 
 1.57000000e+00  1.57000000e+00  3.83886950e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367122e-06 
 1.58000000e+00  1.58000000e+00  3.83886950e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367122e-06 
 1.59000000e+00  1.59000000e+00  3.83886950e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367122e-06 
 1.60000000e+00  1.60000000e+00  3.83886950e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367122e-06 
 1.61000000e+00  1.61000000e+00  3.83886951e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367122e-06 
 1.62000000e+00  1.62000000e+00  3.83886951e-06  1.73514790e-05  1.18100134e-01  1.18576064e-01  3.83886790e-06  1.73530013e-05  8.64367122e-06 
