 yes             code            v(sb0)          v(sb1)          v(sb2)          v(sb3)          v(sb4)          v(sb5)          v(sb6)          v(sb7)          i(vib)          i(visense)      i(vidump)       v(q)            v(qbar)        
 1.00000000e+00  5.70000000e+01  1.30000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45643264e-06  1.34795740e-06  4.10846714e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  5.80000000e+01  0.00000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45643306e-06  1.35681148e-06  4.09961348e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  5.90000000e+01  1.30000000e+00  1.30000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45643379e-06  1.39026530e-06  4.06616040e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  6.00000000e+01  0.00000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45643388e-06  1.37487361e-06  4.08155218e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  6.10000000e+01  1.30000000e+00  0.00000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45643475e-06  1.42060809e-06  4.03581856e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  6.20000000e+01  0.00000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45643500e-06  1.41797919e-06  4.03844772e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  6.30000000e+01  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  5.45643555e-06  1.43947119e-06  4.01695627e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  6.40000000e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45643551e-06  1.41239671e-06  4.04403070e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  6.50000000e+01  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45643659e-06  1.48008034e-06  3.97634815e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  6.60000000e+01  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45643708e-06  1.49933972e-06  3.95708926e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  6.70000000e+01  1.30000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45643782e-06  1.54091244e-06  3.91551728e-06  2.00795870e-09  2.00795870e-09 
 1.00000000e+00  6.80000000e+01  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45643805e-06  1.53791568e-06  3.91851427e-06  2.00795881e-09  2.00795881e-09 
 1.00000000e+00  6.90000000e+01  1.30000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.30000000e+00  0.00000000e+00  5.45643887e-06  1.58958938e-06  3.86684140e-06  2.00795881e-09  2.00795881e-09 
