Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_85,VGND,li1,47.3800,10.8800,0.000000
FILLER_0_81,VGND,li1,43.4700,10.8800,0.000000
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000000
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000000
FILLER_0_53,VGND,li1,30.5900,10.8800,0.000000
FILLER_0_41,VGND,li1,27.1400,10.8800,0.000000
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000000
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000000
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000000
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000000
hold8,VGND,li1,110.8600,21.7600,0.000019
hold7,VGND,li1,123.7400,21.7600,0.000020
hold6,VGND,li1,124.6600,32.6400,0.000073
hold5,VGND,li1,123.7400,38.0800,0.000020
hold4,VGND,li1,123.7400,16.3200,0.000066
hold3,VGND,li1,103.5000,32.6400,0.000070
hold2,VGND,li1,84.1800,32.6400,0.000061
hold1,VGND,li1,105.3400,27.2000,0.000184
clkload0,VGND,li1,61.1800,21.7600,0.000012
clkbuf_1_1__f_clk,VGND,li1,91.5400,27.2000,0.000181
clkbuf_1_0__f_clk,VGND,li1,64.4000,27.2000,0.000142
_083__1,VGND,li1,100.0500,32.6400,0.000068
clkbuf_0_clk,VGND,li1,78.2000,27.2000,0.000165
fanout34,VGND,li1,71.3000,21.7600,0.000015
fanout33,VGND,li1,74.0600,21.7600,0.000015
fanout32,VGND,li1,76.1300,16.3200,0.000051
fanout31,VGND,li1,55.6600,21.7600,0.000011
fanout30,VGND,li1,39.1000,16.3200,0.000024
max_cap29,VGND,li1,100.0500,16.3200,0.000063
fanout28,VGND,li1,80.0400,21.7600,0.000016
output27,VGND,li1,137.0800,38.0800,0.000021
output26,VGND,li1,130.1800,38.0800,0.000021
output25,VGND,li1,126.5000,38.0800,0.000020
output24,VGND,li1,112.7000,38.0800,0.000018
output23,VGND,li1,103.9600,38.0800,0.000017
output22,VGND,li1,97.0600,38.0800,0.000016
output21,VGND,li1,86.4800,38.0800,0.000015
output20,VGND,li1,77.7400,38.0800,0.000013
output19,VGND,li1,69.0000,38.0800,0.000012
output18,VGND,li1,60.2600,38.0800,0.000011
output17,VGND,li1,51.5200,38.0800,0.000009
output16,VGND,li1,42.7800,38.0800,0.000007
output15,VGND,li1,34.0400,38.0800,0.000004
output14,VGND,li1,25.3000,38.0800,0.000003
output13,VGND,li1,16.5600,38.0800,0.000003
output12,VGND,li1,7.8200,38.0800,0.000003
output11,VGND,li1,133.4000,38.0800,0.000021
output10,VGND,li1,137.0800,32.6400,0.000073
output9,VGND,li1,135.2400,32.6400,0.000073
output8,VGND,li1,137.0800,32.6400,0.000073
output7,VGND,li1,137.0800,27.2000,0.000184
output6,VGND,li1,137.0800,21.7600,0.000020
output5,VGND,li1,137.0800,16.3200,0.000066
output4,VGND,li1,133.4000,10.8800,0.000000
output3,VGND,li1,137.0800,10.8800,0.000000
input2,VGND,li1,9.4300,38.0800,0.000003
input1,VGND,li1,7.5900,27.2000,0.000029
TAP_TAPCELL_ROW_9_79,VGND,li1,134.5500,37.7880,0.000021
TAP_TAPCELL_ROW_9_78,VGND,li1,121.6700,37.7880,0.000019
TAP_TAPCELL_ROW_9_77,VGND,li1,108.7900,37.7880,0.000018
TAP_TAPCELL_ROW_9_76,VGND,li1,95.9100,37.7880,0.000016
TAP_TAPCELL_ROW_9_75,VGND,li1,83.0300,37.7880,0.000014
TAP_TAPCELL_ROW_9_74,VGND,li1,70.1500,37.7880,0.000013
TAP_TAPCELL_ROW_9_73,VGND,li1,57.2700,37.7880,0.000010
TAP_TAPCELL_ROW_9_72,VGND,li1,44.3900,37.7880,0.000007
TAP_TAPCELL_ROW_9_71,VGND,li1,31.5100,37.7880,0.000004
TAP_TAPCELL_ROW_9_70,VGND,li1,18.6300,37.7880,0.000003
TAP_TAPCELL_ROW_8_69,VGND,li1,121.6700,32.9310,0.000073
TAP_TAPCELL_ROW_8_68,VGND,li1,95.9100,32.9310,0.000066
TAP_TAPCELL_ROW_8_67,VGND,li1,70.1500,32.9310,0.000053
TAP_TAPCELL_ROW_8_66,VGND,li1,44.3900,32.9310,0.000032
TAP_TAPCELL_ROW_8_65,VGND,li1,18.6300,32.9310,0.000012
TAP_TAPCELL_ROW_7_64,VGND,li1,134.5500,32.3480,0.000073
TAP_TAPCELL_ROW_7_63,VGND,li1,108.7900,32.3480,0.000071
TAP_TAPCELL_ROW_7_62,VGND,li1,83.0300,32.3480,0.000060
TAP_TAPCELL_ROW_7_61,VGND,li1,57.2700,32.3480,0.000044
TAP_TAPCELL_ROW_7_60,VGND,li1,31.5100,32.3480,0.000020
TAP_TAPCELL_ROW_6_59,VGND,li1,121.6700,27.4910,0.000184
TAP_TAPCELL_ROW_6_58,VGND,li1,95.9100,27.4910,0.000182
TAP_TAPCELL_ROW_6_57,VGND,li1,70.1500,27.4910,0.000152
TAP_TAPCELL_ROW_6_56,VGND,li1,44.3900,27.4910,0.000087
